symbol,search_date,prediction_date,days_diff,model_type,decision,confidence,predicted_sign,actual_sign,correct,weighted_score,crowd_count
ADBE,2024-03-14,2024-03-15,1,crowd_aggregate,down,100.0,-1,-1.0,1,100.0,26
ADBE,2024-03-14,2024-03-19,3,crowd_aggregate,down,100.0,-1,-1.0,1,100.0,26
ADBE,2024-03-14,2024-03-25,7,crowd_aggregate,up,60.9375,1,-1.0,0,-60.9375,26
ADBE,2024-03-14,2024-04-04,15,crowd_aggregate,up,89.31623931623932,1,-1.0,0,-89.31623931623932,26
ADBE,2024-03-14,2024-04-25,30,crowd_aggregate,up,96.7948717948718,1,-1.0,0,-96.7948717948718,26
ADBE,2024-06-13,2024-06-14,1,crowd_aggregate,up,100.0,1,1.0,1,100.0,26
ADBE,2024-06-13,2024-06-18,3,crowd_aggregate,up,100.0,1,1.0,1,100.0,26
ADBE,2024-06-13,2024-06-25,7,crowd_aggregate,up,100.0,1,1.0,1,100.0,26
ADBE,2024-06-13,2024-07-08,15,crowd_aggregate,up,100.0,1,1.0,1,100.0,26
ADBE,2024-06-13,2024-07-29,30,crowd_aggregate,up,100.0,1,1.0,1,100.0,26
ADBE,2024-12-11,2024-12-12,1,crowd_aggregate,down,100.0,-1,-1.0,1,100.0,26
ADBE,2024-12-11,2024-12-16,3,crowd_aggregate,down,100.0,-1,-1.0,1,100.0,26
ADBE,2024-12-11,2024-12-20,7,crowd_aggregate,down,85.33443856405025,-1,-1.0,1,85.33443856405025,26
ADBE,2024-12-11,2025-01-03,15,crowd_aggregate,up,62.108044218869495,1,-1.0,0,-62.108044218869495,26
ADBE,2024-12-11,2025-01-27,30,crowd_aggregate,up,83.67582101017861,1,-1.0,0,-83.67582101017861,26
ADBE,2025-03-12,2025-03-13,1,crowd_aggregate,down,100.0,-1,-1.0,1,100.0,26
ADBE,2025-03-12,2025-03-17,3,crowd_aggregate,down,84.96617389125532,-1,-1.0,1,84.96617389125532,26
ADBE,2025-03-12,2025-03-21,7,crowd_aggregate,up,66.8548175374114,1,-1.0,0,-66.8548175374114,26
ADBE,2025-03-12,2025-04-02,15,crowd_aggregate,up,86.48818501759679,1,-1.0,0,-86.48818501759679,26
ADBE,2025-03-12,2025-04-23,30,crowd_aggregate,up,94.11903081627852,1,-1.0,0,-94.11903081627852,26
AMD,2024-02-21,2024-02-22,1,crowd_aggregate,up,100.0,1,1.0,1,100.0,26
AMD,2024-02-21,2024-02-26,3,crowd_aggregate,up,100.0,1,1.0,1,100.0,26
AMD,2024-02-21,2024-03-01,7,crowd_aggregate,up,100.0,1,1.0,1,100.0,26
AMD,2024-02-21,2024-03-13,15,crowd_aggregate,up,100.0,1,1.0,1,100.0,26
